,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
247,2446,2253,2402,2487,10.1,-0.15,-0.75,-0.75,-0.15,10.1,-0.04,-0.03,-0.04,Nice!
248,2437,2262,2390,2501,10.05,-0.16,-0.54,-0.54,-0.16,10.05,-0.04,-0.01,0,Nice!
249,2458,2230,2395,2496,10.14,-0.17,-0.59,-0.59,-0.17,10.14,-0.04,-0.07,-0.03,Nice!
250,2421,2241,2401,2480,10.1,-0.27,-0.7,-0.7,-0.27,10.1,-0.03,-0.03,0,Nice!
251,2426,2249,2420,2503,10.04,-0.12,-0.53,-0.53,-0.12,10.04,-0.04,-0.04,-0.03,Nice!
252,2439,2231,2385,2454,10.07,-0.15,-0.69,-0.69,-0.15,10.07,-0.05,-0.01,-0.01,Nice!
253,2459,2251,2379,2507,10.02,-0.37,1.68,1.68,-0.37,10.02,-0.18,0.2,0.08,Nice!
254,2438,2273,2381,2492,10.07,-1.23,1.16,1.16,-1.23,10.07,-0.28,0.22,0.14,Nice!
255,2471,2273,2393,2485,9.97,-1.55,1.64,1.64,-1.55,9.97,-0.02,-0.09,0.01,Nice!
256,2438,2233,2383,2498,9.96,-1.88,1.63,1.63,-1.88,9.96,0.03,0.04,-0.03,Nice!
257,2436,2254,2369,2443,9.94,-1.81,1.42,1.42,-1.81,9.94,0,-0.12,-0.01,Nice!
258,2461,2242,2403,2496,10.11,-1.46,1.28,1.28,-1.46,10.11,-0.02,0.01,-0.02,Nice!
259,2453,2238,2374,2490,10.04,-1.35,1.31,1.31,-1.35,10.04,-0.04,-0.03,-0.06,Nice!
260,2473,2267,2386,2479,9.95,-1.41,1.44,1.44,-1.41,9.95,-0.04,-0.05,-0.02,Nice!
261,2463,2245,2398,2493,10.03,-1.39,1.39,1.39,-1.39,10.03,-0.02,-0.05,-0.02,Nice!
262,2429,2269,2379,2495,10,-1.43,1.35,1.35,-1.43,10,-0.07,-0.04,-0.07,Nice!
263,2427,2245,2436,2464,10.09,-1.4,2.13,2.13,-1.4,10.09,-0.03,-0.13,-0.17,Nice!
264,2441,2249,2407,2508,10.01,-1.13,0.88,0.88,-1.13,10.01,-0.02,0.22,0,Nice!
265,2434,2256,2411,2501,10.08,-1.41,1.06,1.06,-1.41,10.08,-0.04,-0.07,-0.05,Nice!
266,2462,2224,2393,2480,10.09,-1.8,0.18,0.18,-1.8,10.09,-0.03,-0.17,-0.08,Nice!
267,2499,2240,2401,2496,10.08,-1,0.38,0.38,-1,10.08,-0.03,-0.01,0,Nice!
268,2451,2239,2399,2480,10.23,-0.76,0.37,0.37,-0.76,10.23,-0.03,-0.06,-0.06,Nice!
269,2448,2241,2416,2493,10.18,-0.63,0.04,0.04,-0.63,10.18,-0.03,-0.08,-0.07,Nice!
270,2442,2217,2384,2486,10.11,-0.84,0,0,-0.84,10.11,-0.04,-0.03,-0.02,Nice!
271,2480,2245,2391,2497,10.1,-0.82,0.19,0.19,-0.82,10.1,-0.02,-0.04,-0.01,Nice!
272,2457,2243,2428,2522,10.13,-0.7,0.12,0.12,-0.7,10.13,-0.04,-0.03,0,Nice!
273,2417,2215,2398,2458,10.13,-1.17,-0.11,-0.11,-1.17,10.13,0.07,-0.05,0.03,Nice!
274,2457,2228,2385,2503,10.15,-0.65,0.71,0.71,-0.65,10.15,0.09,0.05,0.03,Nice!
275,2447,2234,2406,2497,10.1,-0.63,0.65,0.65,-0.63,10.1,0.35,-0.02,-0.06,Nice!
276,2449,2243,2385,2512,10.14,-0.45,0.73,0.73,-0.45,10.14,0.33,-0.04,-0.1,Nice!
277,2435,2257,2397,2481,10.08,-0.23,0.76,0.76,-0.23,10.08,0.11,-0.04,-0.03,Nice!
278,2465,2224,2387,2495,10.21,-0.42,0.79,0.79,-0.42,10.21,0.41,-0.06,-0.06,Nice!
279,2465,2238,2388,2485,10.18,0.02,0.11,0.11,0.02,10.18,0.48,-0.08,-0.02,Nice!
280,2467,2251,2381,2496,10.18,0.24,0.3,0.3,0.24,10.18,0,-0.02,-0.04,Nice!
281,2394,2226,2416,2494,10.2,0.24,0.39,0.39,0.24,10.2,-0.01,-0.04,-0.02,Nice!
282,2438,2246,2397,2491,10.14,0.36,0.49,0.49,0.36,10.14,-0.05,-0.06,-0.01,Nice!
