,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
357,2455,2224,2399,2465,10.21,0.2,0.7,0.7,0.2,10.21,-0.03,-0.04,-0.02,Fuck You!
358,2491,2262,2384,2450,10.16,0.21,0.65,0.65,0.21,10.16,-0.04,-0.05,-0.02,Fuck You!
359,2512,2239,2395,2502,10.2,0.3,0.57,0.57,0.3,10.2,-0.03,-0.05,-0.03,Fuck You!
360,2461,2257,2426,2434,10.07,0.34,0.78,0.78,0.34,10.07,-0.04,-0.04,-0.02,Fuck You!
361,2470,2233,2384,2496,10.17,0.19,0.68,0.68,0.19,10.17,-0.04,-0.04,-0.01,Fuck You!
362,2478,2252,2409,2494,10.15,0.31,0.68,0.68,0.31,10.15,-0.04,-0.04,-0.02,Fuck You!
363,2470,2224,2364,2463,10.12,0.22,0.78,0.78,0.22,10.12,-0.03,-0.04,-0.02,Fuck You!
364,2509,2234,2397,2480,10.23,0.22,0.72,0.72,0.22,10.23,-0.04,-0.05,-0.02,Fuck You!
365,2478,2243,2394,2509,10.1,0.23,0.66,0.66,0.23,10.1,-0.03,-0.04,-0.02,Fuck You!
366,2490,2244,2395,2515,10.12,0.28,0.68,0.68,0.28,10.12,-0.04,-0.04,-0.03,Fuck You!
367,2449,2241,2387,2482,10.17,0.64,0.78,0.78,0.64,10.17,-0.06,-0.04,0,Fuck You!
368,2487,2243,2403,2467,10.14,0.31,0.74,0.74,0.31,10.14,-0.05,-0.06,-0.02,Fuck You!
369,2493,2242,2390,2515,10.17,0.18,0.59,0.59,0.18,10.17,-0.04,-0.06,-0.02,Fuck You!
370,2496,2247,2416,2465,9.96,0.29,1.3,1.3,0.29,9.96,-0.07,0.02,-0.06,Fuck You!
371,2480,2211,2402,2502,10.19,0.3,1.12,1.12,0.3,10.19,0.04,0.04,-0.06,Fuck You!
372,2476,2293,2404,2466,10.13,0.53,1.4,1.4,0.53,10.13,-0.06,-0.05,-0.04,Fuck You!
373,2486,2240,2294,2468,10.17,0.15,1.18,1.18,0.15,10.17,-0.07,0.01,-0.07,Fuck You!
374,2476,2246,0,2458,10.23,0.47,1.04,1.04,0.47,10.23,-0.16,-0.09,0.01,Fuck You!
375,2448,2281,0,2486,10.01,0.48,0.97,0.97,0.48,10.01,-0.06,-0.11,-0.01,Fuck You!
376,2512,2255,0,2525,10.02,0.58,1.02,1.02,0.58,10.02,0,-0.04,-0.02,Fuck You!
377,2465,2242,0,2451,10.11,0.43,0.78,0.78,0.43,10.11,-0.04,-0.05,-0.01,Fuck You!
378,2467,2234,0,2512,10.07,0.32,0.91,0.91,0.32,10.07,-0.05,-0.09,-0.01,Fuck You!
379,2480,2245,0,2480,10.03,0.41,0.96,0.96,0.41,10.03,-0.02,-0.02,-0.02,Fuck You!
380,2453,2237,2389,2428,10.17,0.24,0.85,0.85,0.24,10.17,-0.02,-0.01,-0.03,Fuck You!
381,2480,2251,2352,2483,10.19,0.32,1.04,1.04,0.32,10.19,0,-0.01,-0.04,Fuck You!
382,2512,2229,2383,2487,10.1,0.42,1.02,1.02,0.42,10.1,-0.04,-0.03,-0.02,Fuck You!
383,2477,2251,2389,2527,10.2,0.39,0.96,0.96,0.39,10.2,-0.02,-0.03,-0.03,Fuck You!
384,2463,2237,2405,2463,10.18,0.46,0.85,0.85,0.46,10.18,-0.03,-0.06,-0.01,Fuck You!
385,2459,2256,2393,2517,10.12,0.39,1,1,0.39,10.12,-0.04,-0.03,-0.03,Fuck You!
386,2465,2237,2405,2443,10.18,0.39,0.99,0.99,0.39,10.18,-0.02,-0.02,-0.03,Fuck You!
387,2480,2226,2390,2481,10.14,0.42,1.07,1.07,0.42,10.14,-0.03,-0.05,-0.03,Fuck You!
388,2471,2256,2375,2449,10.12,0.5,1.05,1.05,0.5,10.12,-0.04,-0.04,-0.03,Fuck You!
389,2466,2258,2386,2458,10.18,0.57,1.17,1.17,0.57,10.18,-0.05,-0.06,-0.02,Fuck You!
390,2490,2235,2412,2486,10.15,0.57,1.07,1.07,0.57,10.15,-0.04,-0.03,-0.02,Fuck You!
391,2475,2217,2387,2477,10.17,0.55,0.92,0.92,0.55,10.17,-0.04,-0.04,-0.02,Fuck You!
392,2480,2237,2400,2454,10.14,0.48,1.14,1.14,0.48,10.14,-0.03,-0.04,-0.02,Fuck You!
393,2518,2267,2399,2439,10.15,0.62,0.99,0.99,0.62,10.15,-0.03,-0.02,-0.02,Fuck You!
394,2490,2235,2385,2505,10.09,0.56,1.08,1.08,0.56,10.09,-0.04,-0.04,-0.04,Fuck You!
